Symbol;Description;Digits;Spread;Swap Long;Swap Short;Swap Type;Stop Level;Lot Size;Lot Min;Lot Step;Tick Value;Tick Size;Trade Allowed;Pr. Mode
SPAIN35Cash;Spain 35 Index Cash;0;0;-0.77;-1.02;;15;1;0.01;1;1;1;yes;CFD
SUGAR-JUL17;US Sugar No.11 Futures July 2017;4;9;-0.33;-0.2;;20;10000;0.01;1;1;1E-04;yes;CFD
SWI20-SEP17;Switzerland 20 Index Futures September 2017;0;0;-0.93;-0.93;dep ccy;600;1;0.01;1;0.01;0.01;yes;CFD
SWI20Cash;Switzerland 20 Index Cash;0;0;-0.55;-0.96;;400;1;0.01;1;0.01;0.01;yes;CFD
UK100-SEP17;UK 100 Index Futures September 2017;0;0;-1.5;0.05;;400;1;0.01;1;0.01;0.01;yes;CFD
UK100Cash;UK 100 Index Cash;0;0;-0.65;-0.56;;300;1;0.01;1;0.01;0.01;yes;CFD
US100-SEP17;US 100 Index Futures September 2017;0;0;-1.19;-0.54;;400;1;0.01;1;0.01;0.01;yes;CFD
US100Cash;US 100 Index Cash;0;0;-0.63;-0.33;;300;1;0.01;1;0.01;0.01;yes;CFD
US30-SEP17;Wall Street 30 Index Futures September 2017;0;0;-0.47;-0.23;;800;1;0.01;1;0.01;0.01;yes;CFD
US30Cash;Wall Street 30 Index Cash;2;280;-2.48;-1.08;;500;1;0.01;1;0.01;0.01;yes;CFD
US500-SEP17;US 500 Index Futures September 2017;0;0;-0.47;-0.23;;100;1;0.01;1;0.01;0.01;yes;CFD
US500Cash;US 500 Index Cash;0;0;-0.26;-0.14;;100;1;0.01;1;0.01;0.01;yes;CFD
USDCNH;US Dollar vs Renminbi;0;0;-8.63;-1.63;points;50;100000;0.01;0.01;0;1E-04;yes;CFD
USDDKK;US Dollar vs Danish Krone;5;272;-13.89;-75.19;points;340;100000;0.01;0.01;0.566008;1E-05;yes;CFD
USDHKD;US Dollar vs Hong Kong Dollar;4;25;-2.55;-6.38;points;26;100000;0.01;0.01;4.817461;1E-04;yes;CFD
USDRUB;US Dollar vs Rubol;4;4084;-203.04;14.93;points;456;100000;0.01;0.01;0.636484;1E-04;no;CFD
USDX-SEP17;US Dollar Index September 2017;0;0;-0.1;-0.07;points;10;10;0.01;1;0.01;0.001;yes;CFD
WHEAT-JUL17;US Wheat Futures July 2017;0;0;-0.33;-0.2;;200;400;0.01;1;0.04;1E-04;yes;CFD
